text_clean,label_final
"жуткая синтетика, ткань даже скрепит. но зато очень яркая",одежда
рукава рваные   ,одежда
хорошая! плотная. качество огонь. рекомендую. доставка быстрая.,украшения и аксессуары
"отличный пиджак, пришел быстро, отслеживался, сшит хорошо, нитки не торчат, запаха нет. единственное размер не угадала, на свой м заказала l в притык, но не страшно, носить буду с удовольствием. спасибо!",бытовая техника
"водолазка хорошая, теплая, для тела очень приятная, мягонькая! очень долгая доставка! заказывала 11.11. пришла 27.12! продавец общительный, отвечал на вопросы  спасибо!",одежда
"юбка не соответствует описанию. покупала голубую, прислали грязно серо-синию. спереди на самом видном месте повреждение ткани, похоже на ожоги, ткань обуглена. носить не буду.",одежда
это такое г. что нет слов.а трусики лучше бы вообще не ложили.ну какие деньги такой и товар.,нет товара
"вонючие, материал стремный",одежда
качество товара не очень,одежда
"на фото они матовые, а пришли глянцевые",одежда
"кофточка соответствует описанию. но... не то,что думала.. но это скорее мое не внимание к деталям.. но в любом случае спасибо. еще раз убеждаюсь что прежде чем заказывать, внимательно читать",бытовая техника
"долгая доставка,чулки так себе,не успела одеть сразу стрелка пошла. носить постоянно их не возможно,так если только на один раз померить",нет товара
великовата   ,одежда
сборки в коленках. не обтягивают,одежда
"товар пришел очень воняет плесенью!!! рубашка вся влажная какая-то!! про размер ничего сказать не могу, так как даже не смогла ее померить!!! ужас просто!!!",одежда
"рисунок только до половины носка, то есть только сверху, нижняя часть стопы однотонным белым цветом. некрасиво выглядит переход от рисунка к белому цвету .",одежда
"неприятный к телу. форму держит, если есть что держать  не надела ни разу, коже не приятно, на всю площадь чашки липучка.",одежда
"качество нормальное! но доставка оооочень долго, защита закончилась, до омска 62 дня.",товары для детей
"продавец продлевал срок доставки, но товар так и не пришел. на открытый спор продавец не ответил.",украшения и аксессуары
пришла блуза без одного манжета! продавец в качестве компенсации предложил скидку на следующий заказ. в размере одного доллара. щедро...,украшения и аксессуары
"цвет блузки не соответствует, вместо белой как на фото пришла желтоватая и ткань совсем другая по качеству",одежда
спасибо. соответствует ожиданиям. качество супер.,одежда
"доставка чуть больше месяца, в целом хорошая юбка, только модель своеобразная, не на каждые бедра пойдёт",одежда
"оказалсь велика, но всё равно ставлю 5 звезд, так как это уже моя ошибка. рост 168, ог-92, от-62. l велика, на размер меньше над о было брать. я оказалось не такой жирной, как думала. пизда.",одежда
"товар шел около месяца. платье тонкое. на карманах черный кож. заменитель смотрится дешево. платье на бедрах сшито не закругленно, а криво. придеться перешивать. платье не стоит этих денег.",одежда
"самые обыкновенные тонкие колготки, максимум 20 дэн, порвались в первый же день на пальцах. никакие они не суперпрочные. ерунда, если бы знала, ни за что не ждала бы их месяц. продавец обманывает.",одежда
пришёл не тот цвет который я заказала!,нет товара
"блузка классная, но мне маловата в груди, ношу 50-52. очень жаль.",одежда
размер s оказался большим,одежда
"хороший халат, правда думала ткань плотнее будет просвечивает.",одежда
"заказ не пришёл,я ждала 2 месяца",украшения и аксессуары
"шло 2 ёб ан ых месяца, а так всё норм, рекомендую.",одежда
"отличная жилетка,на 44 подошёл м, длинна на на картинке короткая,есть немного ниток,но не критично,качества хорошего и наполнителя достаточно,я довольна.в подарок продавец положил резинку для волос,спасибо.",одежда
"получила через месяц в питер. качество хорошее, у меня р-р 35-36 мне как раз. не знаю как их натягивают на 37-38",одежда
"заказ пришел быстро, 16 дней до смоленска. швы ровные, размер точно указан, xl рус. 46-48, на рост 176 до середины попы.на фото лучше чем в реальности. не оправдал ожиданий. буду открывать спор",украшения и аксессуары
товар просто не пришел,одежда
"юбка так себе. швы торчат. по бокам юбка стоит, создается впечатление, что это живот. деньги вернули. в талии l давит, хотя обхват талии небольшой.",одежда
жене понравилось и размер подошел,одежда
"не пришло, долго мучился со спором, продавец не хотел возвращать деньги, если вернул бы сразу без тягомотины поставил бы 5 звезд",нет товара
"куртка на теплую осеньдо  12 ,но к сожалению оказался мал в груди,тесно",одежда
"продавец мошенник говорил что товар будет отслеживаться,но в итоге дал не отслеживаемый трек номер...хотя я дополнительно заплатила...товар я,конечно же, не получила..очень жаль ",электроника
"не подошёл рост, на мои162 ,длина ниже колен, рукав до кончиков пальцев. нет различия между перелом и задом и поэтому ворот спереди слишком давит. размер соответствует описанию. материал акрил или вискоза, к телу нормально",одежда
на 52 размер 3хххlподошел. качество хорошее,одежда
"в целом не плохо! маломерит, мой размер l, заказывала xl-прям впритык, хотелось бы свободнее! из недочетов-был грязный рукаф кофты, но отстирался хорошо! 1,5 недели лежал заказ на почте, смс не приходила",нет товара
заказ не пришел. открыла спор. деньги еще не вернули.,нет товара
"платье пришло за 10 дней, ткань не очень, мне не понравилась, но дома носить можно  ",одежда
полностью соответствует описанию,одежда
изображение на футболке как клеёнка на ощупь,одежда
"на хлопок не похоже, нитки торчат. размер не соответствует, нужно брать на 2-3 размера больше.",одежда
"спасибо продавцу, хорошие теплые штаны, на мой 44 размер-идеально! тянутся хорошо. талия высокая. рекомендую.",одежда
классная юбка за неделю,одежда
"пришли быстро, качество нормальное",одежда
"надо было доставлять почтой,а не курьером. долго не могла получить товар по этой причине. юбка оказалась длиннее,чем на фото.",одежда
"рубашка очень хорошая. ткань тонкая, так что скорее летняя. очень приятная к телу. по размеру - на меня свободно. длина рукавов  у меня длинные руки  и самой рубашки - идеально.",одежда
"очень короткая , рисунок тусклый , и в целом на фото е не очень похоже .",одежда
"в целом рубашка не плохая,жаль только не угадала с размером оказалась велика",одежда
мягкий на ощупь.,одежда
по размеру 5xl на наш 52. обхват груди 115.,одежда
"плохо, но футболку я так и не получила, в последнее время я мало, что получаю с али, ничего не доходит почти. надоело.",электроника
дырка в на плече  ,одежда
"деньги на ветер иначе не назовёшь! после стирки перекосилось! цвета естественно облезли, размер маломерит как минимум на 2-3 размера! продавец просил 5! хотя по факту не за что совершенно!",нет товара
"платье пришло таким мокрым,что можно было выжать пол ведра воды с него! я возмущена,как вообще такое возможно!платье имеет стойкий запах сырости и плесени!!!!не рекомендую продавца",одежда
"все хорошо, отправили быстро. в подарок носочки   ",товары для детей
"отличное платье,покупаю не первый раз",одежда
"хорошее платье, очень аккуратно сшито!рада на все ,а доставка вообще 7 дней.да и ещё подарок положили, спасибо очень приятно!",одежда
тёплые. доставка быстрая.рекомендую.,нет товара
ужасные прлсто.,одежда
"носки хорошие и подошли по размеру, приятного качество и не тёплые !!! но ждали полтора месяца!!!!",обувь
"товар пришел быстро, но качество так себе. но за такие деньги сойдет.",товары для детей
кофта шикарная !но с размером не угадали !!!!пришло на 2 размера меньше всего,одежда
"очень тонкие, большой размер, порвались в первый день",одежда
"пижама славная , но размер не соответствует.",одежда
заказано 29 сентября. пришло 1 декабря. 3 месяца. просто ужас.,нет товара
"посылка пришла быстро , но свитер был поврежден    . часть денег вернули!",одежда
быстро качественно. я довольна,одежда
заказ не пришел! верните деньги!,украшения и аксессуары
"платье тряпочка!тонкое,подчёркивает все изъяны     на рост 174 рукав коротковат.горловина не пришита как обычно это бывает,а целековая  на фото видно  из-за этого спереди и сзади топорщится.не советую однозначно.",одежда
"заказ пришел за месяц. размер соответствует. очень довольна рубашкой  все швы ровные и аккуратные, пуговицы симпатичные, ткань приятная на ощупь.в холодную погоду использую вместо джемпера.",одежда
спасибо. оригинально. и аккуратно. рекомендую.,одежда
"платье быстро доставлено, на рост 160 см талия на месте, качество отличное, советую данного поставщика. дефектов, ниток нет. ткань хлопок 100  , мнётся, но не критично. покупкой довольна.",одежда
"качество плохое все отклеивается, не стоит этих денег",одежда
"качество конечно плохое,нитки торчат,ткань мнущаяся..ну за ту цену наверное такое и качество.заказывала вещи первый раз..",нет товара
"заказ получила очень быстро за 15 дней до оренбурга. качество хорошее, но размер 5х на 54 большеват. надо было заказать меньше. в следующей раз учту.",электроника
"брюки конечно очень не плохие, заказывала чёрные, на сзади на штанинах оказались белые пятна, скорее всего заводской брак, после стирки ничего не изменилось. продавец вернул деньги",одежда
"очень крутая куртка. супер. спасибо. на вес 65 xl идеально,но если кто любит по свобод ней , лучше на 3 размера больше брать. доставка 14 дней до новороссийска",одежда
прикольный но колючийдоставка быстрая,украшения и аксессуары
отличные водолазки. пришли три в одной посылке быстро.,одежда
"качество не оч, и какая то не пропорциональная. не как на картинке. на 300 р и 3 звезды тянет. брала xl хотя ношу м. села тютя в тютю",одежда
качество плохое. прием выкройка ужасная. одна штанина длиннее,одежда
"парка шла 31 день до сочи,3xl как l выглядит как игрушечная,нитки торчат.",одежда
эта шапка соответсвует заказанной,одежда
"неплохое качество, есть запах, но после стирки исчез. спасибо.",одежда
"размер мал,думала подойдет! но хорошенькие!отдам сестре. рекомендую",одежда
продавец плохой.юбки узкие.,нет товара
"ждала заказ 2 месяца. не дождалась,открыла спор. продавец общительный, деньги вернул,жаль не получила блузку.",бытовая техника
"все ок, соответствует описанию.",одежда
все отлично как на картинке и в описании рекомендую пришло за две недели до сургута,одежда
"товар не пришёл, ждала два месяца. деньги поставщике увернул только после долгой переписки и споров. очень разочарована.",нет товара
i really like my new shirt! it looks very beautiful,одежда
"заказывала размер l ,а соответствует s.",нет товара
от кофты запах ужасный да и навид она неочень я растроилась ставлю три звезды потомучто без косяков с шита,одежда
"быстро отправили и размер подошел, спасибо продавцу буду рекомендовать",одежда
"отвратительно пошито, полоски кривые, вся косая кривая, не соответствует размерной сетке размер хл как с . открыла спор вернула часть денег. доставка очень долгая и не было трекинга месяц",нет товара
"дырки, нитки , затяжки",товары для детей
спасибо.отличная водолазка.очень быстрая доставка .подошла на размер 44-46.,одежда
"все супер, пришло быстро",одежда
"класс!мне понравились,очень красивые, стразы держатся крепко!",одежда
"ждала три месяца, вернули деньги, товар так и не пришел",украшения и аксессуары
"качестко хорошее,рекомендую.продавцу 5   ",одежда
пришли с браком некоторые,одежда
очень не довольна доставкой,одежда
"платье отлично село. качество материала норм, все швы аккуратненькие. рукава чуть коротковатые, но это не критично. доставка три недели",одежда
цифры и буквы на комплекте написаны в зеркальном отображении ..шёл товар ну не очень быстро на фоне других..ткань хорошая но штаны смотрятся вообще как шаровары... очень свободные ...ну вот так очень недоволен товаром,одежда
"описание не точное ткань так себе, заказывала м пришла на размер меньше",нет товара
"шла наверное месяца полтора, цвет не совсем такой как на фото, но шапка все равно очень милая ",одежда
не пришла ! я в расстройстве не заказывайте с этого магазина,нет товара
товар не пришел. продавец вернул деньги.,товары для детей
ткань очень плотная для летнего платья. длина изделия короче чем указано в описании.,одежда
"товар не соответствует описанию. после спора продавец вернул часть средств, что немного сгладило разочарование от покупки .",бытовая техника
ждала заказ на сахалин 60 дней. но платье так и не пришло. продавец вернул деньги. очень не довольна. зря прождала столько времени,одежда
заказала 24 августа пришла 18 октября,украшения и аксессуары
очень короткая,одежда
"все супер, заказываю уже третий раз",бытовая техника
"отличные носки, заказала 5 пар разных, всё прислали верно. тянутся хорошо - на ногу 40 размера подошли.и доставка быстрая, так что рекомендую однозначно!!",украшения и аксессуары
"очень плахой материал,совсем не соответствует фото.кароче фигня",одежда
очень маломерят,одежда
"ужасная, из серии ожидание реальность",одежда
продавец слукавил. материал шарфв не является обещанным кашемиром.,одежда
"заказ пришёл в тюмень за 2 недели. размер соответствует. заказала l , ог103, от79, об97 хорошо сидит. качество оставляет желать лучшего. за такие деньги думаю хороший вариант",нет товара
"юбка хорошего качества, но мне велика, мой объём бёдер 89см",одежда
"хорошее качество, сшито аккуратно. размер xl подошёл на мой 46-48. карман с одной стороны - это странно   ",одежда
не 5 х совершенно. на 48 русский тянет. качество слабое. у китайцев на рынке такой купила бы дешевле,одежда
"заказывала 21.09 пришли 4.10,качество хорошее а вот размер я не ожидала что будет такой большой ,разочарована больше не буду брать",электроника
"раньше заказывала такую же юбку но розового цвета, очень понравилась и решила серую заказать. но очень разочаровало качество. ужасное ... синтетика. не заказывайте. раньше лучше качество было- ткань была под замш.",нет товара
"заказывала clovez store 40 ден, пришли bonas 280 ден, доставка 6 недель",украшения и аксессуары
размер не подошёл. брала xl на 48 рос. даже на вид они не больше s.ки - м. ки к тому же они тонкие! в прошлый раз заказывала в другом магазине они были намного лучше и теплее!,нет товара
"кофта прикольная, хороша села на размер s, 42, не пахнет, но белая немного просвечивает. ехала в москву около месяца.",одежда
размер s брала...выглядит как м,одежда
огорчение долго шёл товар,одежда
"размер подошёл ,все отлично",одежда
"к сожалению,посылка была украдена из курьерской машины.ни шубы ,ни денег.очень обидно.",украшения и аксессуары
"совсем не понравилось качество, особенно  синтетический  блеск. швов спереди и сзади на бедрах нет, что делает фигуру плоской. с продавцом не общалась.",одежда
"кофта отличного качества, приятная к телу. на российский 46-48 р-р м сел идеально.",одежда
все супер! м на с подойдёт,одежда
качество товара подвело,одежда
товар не отслеживался и не пришёл. продавец сам перевёл в статус полученных. не рекомендую.,товары для детей
пришла блузка по описанию все совпадает но к сожалению маленькая,одежда
нормальные лосины. немного блестят. на попе сидят не очень комфортно.,одежда
пришла быстро.спасибо продавцу.,одежда
товар мне не понравился открыли спор.продовец оказался добросовестным и вернул мне деньги,нет товара
"брюки не стоят своих денег. тонкие, карман пришит к боковому шву, клепка сразу отвалилась, при первой же примерке. на ногах сидят плохо, все в складках...не советую...",одежда
"шёл заказ очень долго! не знаю кто виноват, почта или продавец. заказала в июне, пришло в середине сентября. на размер 46-48 l село хорошо, но очень короткая. носить не буду",электроника
"the product came quickly, but the color is not the same as stated. place pink i got a pale purple. size does not match.",одежда
"отличный свитер  быстрая доставка! на 44-46 идеально, рост 172, единственное рукава впритык",одежда
"платье пришло криво сшитое на юбке, придётся перешивать. открыла из за этого спор, 250 р вернул али",одежда
"качество так себе, но и цена соответствует",одежда
цвет на много темнее чем я заказывала.,нет товара
товар так сибе . синтетика . утепленый. штоны на 180 кофта норм хл размер . рост у меня 160неного большоват но носить можно,одежда
по фото смотриться как плотный зимний материал. а на самом деле тонкий материал. с размером не угодала. на рост 162см. чуть ниже колено. без кармана. заказала s ку. большивато.,украшения и аксессуары
не получил товар при этом стоит отметка о вручении,товары для детей
"качество, конечно не очень, торчали нитки, халат пришёл на размер больше, чем заказывала, хл до колена. в целом нормально, трек отслеживается.",одежда
"заказывала маме парку голубого цвета, пришел грязно серый, 3 звезды только за оперативность.разочарована",электроника
еще не пришел,одежда
"шерты просвечивают, футболка свободная, очень хорошо за эту стоимость",одежда
"заказала дочке, но ощупь приятная , рукава длинны . xxxl на 48 русский",нет товара
"ооооочень крутая и качественная толстовка,пришла недели за 3 в москву",одежда
"размерная сетка не соответсвует действительности, очень жаль, так ждала эту юбку. на бёдра 96 см юбка в размере м оказалась огромной. обидно тратить дополнительные деньги на ателье, чтобы ее ушили",одежда
"хорошее качество, доставка меньше месяца.",украшения и аксессуары
замечательное качество за такие деньги. очень красиво сидит. доставка быстрая. рекомендую этот товар. very good quality for this price. fast shipping. i recommend this product.,украшения и аксессуары
"размер маленький ,а так очень даже ничего",одежда
"отличный товар, без запаха,размер подходит на 42-44.быстрая доставка   рекомендую",бытовая техника
"очень хороший жилет, качественно сшит. однако на размеры 94-80-104 вполне можно было бы взять xxl. а то начиталась отзывов и взяла хxxl. большевато.",одежда
it ok like it,одежда
"платье хорошее, немного велико. не очень хорошо выполнен шов с одной стороны, вылезла ткань, но это легко устраняется.за такие деньги это ерунда.",одежда
"товар не пришёл в москву, деньги вернули",товары для детей
"доставка меньше месяца, курьером сдек домой, на российский 48 взяла xl, сидит свободно, как и должна. по длине хотелось чуть больше. замечаний к качеству нет, мягкая, уютная. буду ещё заказывать у данного продавца.",товары для детей
"кофта не пришла, три раза открывала спор и все бестолку, ужасный лживый продавец, кормил завтраками три месяца",одежда
оказалось мало и короткие,одежда
доставка быстрая продавец молодец.,товары для детей
"рубашка красивая, сидит отлично. но вот на рукаве пятна жёлтые , как от масла, не отстирываются.",одежда
"ура! обожаю этот джемпер! у меня такой еще серый есть. очень красивый и теплый! отдельное спасибо продавцу за то, что нашел для меня одну штуку, потому что изначально была инфа, что товар закончился! спасибо!",одежда
отличный и качественный товар!!!,одежда
чистая синтекика,одежда
"не бюстгалтера,не денег . теперь буду оплачивать только по факту.",одежда
"не очень красивые, какие-то слишком яркие.",одежда
"хорошая, тёплая шапочка, заказом довольна ",бытовая техника
"ужасно! заказ так и не пришёл, продавец на контакт не идёт! разочарована, открыла спор. деньги не вернули! развод! никогда здесь не заказывайте!",нет товара
это вообще не соответствует фотографии!!!это какой то мешок!!!,одежда
"30.11.17-30.12.17, офигенное платье, теплое, чуть-чуть великовато на 40р, рекомендую всем",одежда
"очень широкая майка, как наволочка",одежда
"платье мне не пришло, деньги вернули",электроника
"заказ шёл месяц. как все и говорят. трусики норм, а вот майка большая ее бы сантиметров на 5 меньше.",одежда
"ношу джинсы 25-26 размера, шорты заказала 26р., сели хорошо. шорты хорошие, но не было одной пуговицы.",одежда
они хорошего качества. быстрый прибыл и упаковке. material is nice to wear.,одежда
"херня. эклетризуется, на ощупь не приятное. жена не носит.",одежда
"заказ так и не пришёл,спор открыть не даёт ,деньги соответственно не вернули!!!",нет товара
"блузка пришла с браком,, открыла спор, продавец вернул деньги, спасибо ему за возврат средств",одежда
"ужасные джинсы, на об 99 взяла l, они оказались малы  ",одежда
продавец отправил товар на неверный адрес. должны вернуть деньги. очень жаль.,украшения и аксессуары
"неплохое качество, подходит по размеру",одежда
продавец вместо размера м отправил xs . качество нормальное,нет товара
"нет силиконовой полоски. на ноге держаться не будут без пояса для чулок. очень узкая ажурная полоска, перетягивает ногу. короче фигня",одежда
"s на 46 даже чуток великовата, а так очень хорошие леггинсы, материал качественный, рекомендую",одежда
на фото товар выглядит более качественным...,одежда
отличная пижамка за эти деньги! на 90-67-95 подошел размер м! пришло в спб за 8 дней.,бытовая техника
"размер не соответствует заявленному, на 40 мка оказалась мала",одежда
"отличный костюм! мягкий уютный! немного тянется в коленях, но не фатально! на 44 взяла l подошло отлично! рекомендую! позже закажу в другом цвете!",одежда
товар не пришел продавец деньги вернул,товары для детей
"не успела достать из пакета, как все затрещало и прелипло к телу, оно ужасно электрезуется, не знаю как такое носить, на вид красиво а ткань не пригодна для носки     я настроенная так ждала эту посылку    ",одежда
"товар не пришел, деньги не вернули. не советую",товары для детей
"в краснодар шла около месяца. размер xs подошел отлично. все кнопки рабочие, цвет хороший. юбкой довольна!",одежда
продавец провтыкал сроки доставки дошло до спора и бац товар прилетел спор отменил. брал ребенку так что не смотрите на рост и вес   ,украшения и аксессуары
"не совсем то, что на фото.",одежда
товар плохого качества даже для этой цены.размер по таблице не совпал при росте 163 см и весе 53 кг .м оказалась очень маленьким.дома в магазине увидел такую же вещ дешевле чем у этого продавца.,одежда
качество хорошее. заказываю второй раз.,украшения и аксессуары
совсем не то что в описании. мне большая и очень.,одежда
заказ не пришел. был открыт спор.деньги вернули.,украшения и аксессуары
хороший товар. отличный продавец.,украшения и аксессуары
"качество неплохое, есть запах. на рост 171 малы",одежда
цвет не совпадает. заказала нежно розовый получила песочный. размер подошел,нет товара
"заказала 04.09,пришло 11.10. доставил курьер. все подошло. мята, но не критично. талия 92,....опа-106. влезла прекрасно!",нет товара
"товар до сих пор не отправлен, он только готов к отправке... верните деньги!!!",товары для детей
"читаешь размерную сетку, а в итоге, мало. качество хорошее, закажу большего размера.",одежда
"хороший свитер,но он не такой широкий и рукава вообще не по всей длине,но подошел,так что 4.продавцу спасибо.",одежда
"ждала 3месяца,так ничего иполучила,открыла спор продавец не хотел возвращать деньги,спасибо али.вмешались ,деньги вернули..",нет товара
great. thanks,одежда
ткань адская синтетика а длинна чуть ниже футболки,одежда
"доставка очень быстрая,до тулы 12 дней!!!что касается товара,то качество отличается от картинки,и цвет какой то грязный чтоли.есть недочеты    на параметры 90 70 90 заказа s.",бытовая техника
"заказ шел 40 дней до ставрополя. куртка маломерка, на 54 размер заказывала 5xl, мала. совсем не пуховик, наполнитель синтепон. мех на капюшоне искуственный, отвратительного качества.",одежда
"прислали товар самого маленького размера, при заказе на 48 размер, прислали 42",бытовая техника
"заказывала две майки, но к сожалению розовая не пришла. деньги вернули по спору.",нет товара
лучше ничего не брать у этого продавца!,одежда
суперская!!!,одежда
"джемпер мягкий, приятный к телу, без запаха, размер взяла м, сел отлично  ог 87, т 65  бирки никакой нет, состав не могу сказать. с продавцом не общалась.",одежда
"все как заявлено. посылка пришла не очень быстро, но зато доставка была до двери.",украшения и аксессуары
"красивое , без запаха . все соответствует. очень ждала и довольна . спасибо ! рекомендую!",одежда
"брала подруге. на наш 52 взяли 4xl, села отлично. к телу очень приятная. спасибо продавцу. рекомендую.",одежда
конченый продавец жду товар с 13 июля досих пор нет окрыл спор на все продавец не чего не делает,нет товара
"товар не получила, деньги не вернули",товары для детей
"заказ так и не пришёл! деньги не вернули, хотя спор выиграл. не рекомендую этого продавца",нет товара
"к сожалению сильно разочаровало качество отделки. сама толстовка хорошая, но манжеты и резинка в низу - просто ужасны!",одежда
трусы полное говно. швы все перепутаны одни внутри другие снаружи,одежда
очень долго шёл заказ!,украшения и аксессуары
не пришло деньги не вернули ,украшения и аксессуары
"качество так себе, неприятная к телу   сама широкая, а рукава коротковаты... даже за такую цену неочень довольна покупкой ....",обувь
"фото не соответствует товару и описание тоже.это куртка прямого пошива ,тонкая,осенняя.на фото пальто хорошее а действительности похуже",одежда
заказ не пришел! деньги вернули!,украшения и аксессуары
товар пришел быстро товар качественный я доволен,одежда
цвет другой совсем не как на рисунке,одежда
"товар не качественный, синтетика",одежда
"доставка 1,5месяца..товар отслеживался.. ткань мягкая, приятная, в целом заказом очень довольна .. продавец положил подарочек, очень приятно.. спасибо большое",бытовая техника
"доставка быстрая, качество материала и пошива хорошее, размер соответствует таблице",бытовая техника
"попросила продавца отправить на другой адрес, так как в моем была ошибка. он ответил мне, что отправит, без проблем. в итоге адрес не исправили и я не могу забрать свою посылку. деньги не возвращают",электроника
продавца рекомендую,одежда
доставка быстрая. размерной таблице не соответствие. оказались велики.,бытовая техника
